,,,,,2008
1,EAP,East Asia & Pacific,ER.MRN.PTMR.NO,Marine protected areas (number),754
2,ECA,Europe & Central Asia,ER.MRN.PTMR.NO,Marine protected areas (number),84
3,EMU,Euro area,ER.MRN.PTMR.NO,Marine protected areas (number),277
4,HIC,High income,ER.MRN.PTMR.NO,Marine protected areas (number),"3,344"
5,HPC,Heavily indebted poor countries (HIPC),ER.MRN.PTMR.NO,Marine protected areas (number),91
6,LAC,Latin America & Caribbean,ER.MRN.PTMR.NO,Marine protected areas (number),422
7,LDC,Least developed countries: UN classification,ER.MRN.PTMR.NO,Marine protected areas (number),149
8,LIC,Low income,ER.MRN.PTMR.NO,Marine protected areas (number),121
9,LMC,Lower middle income,ER.MRN.PTMR.NO,Marine protected areas (number),791
10,LMY,Low & middle income,ER.MRN.PTMR.NO,Marine protected areas (number),"1,605"
11,MIC,Middle income,ER.MRN.PTMR.NO,Marine protected areas (number),"1,484"
12,MNA,Middle East & North Africa,ER.MRN.PTMR.NO,Marine protected areas (number),53
13,NOC,High income: nonOECD,ER.MRN.PTMR.NO,Marine protected areas (number),414
14,OEC,High income: OECD,ER.MRN.PTMR.NO,Marine protected areas (number),"2,930"
15,SAS,South Asia,ER.MRN.PTMR.NO,Marine protected areas (number),143
16,SSA,Sub-Saharan Africa,ER.MRN.PTMR.NO,Marine protected areas (number),149
17,UMC,Upper middle income,ER.MRN.PTMR.NO,Marine protected areas (number),693
18,WLD,World,ER.MRN.PTMR.NO,Marine protected areas (number),"4,949"
19,AFG,Afghanistan,ER.MRN.PTMR.NO,Marine protected areas (number),
20,ALB,Albania,ER.MRN.PTMR.NO,Marine protected areas (number),7
21,DZA,Algeria,ER.MRN.PTMR.NO,Marine protected areas (number),6
22,ASM,American Samoa,ER.MRN.PTMR.NO,Marine protected areas (number),7
23,ADO,Andorra,ER.MRN.PTMR.NO,Marine protected areas (number),
24,AGO,Angola,ER.MRN.PTMR.NO,Marine protected areas (number),4
25,ATG,Antigua and Barbuda,ER.MRN.PTMR.NO,Marine protected areas (number),12
26,ARG,Argentina,ER.MRN.PTMR.NO,Marine protected areas (number),36
27,ARM,Armenia,ER.MRN.PTMR.NO,Marine protected areas (number),
28,ABW,Aruba,ER.MRN.PTMR.NO,Marine protected areas (number),1
29,AUS,Australia,ER.MRN.PTMR.NO,Marine protected areas (number),384
30,AUT,Austria,ER.MRN.PTMR.NO,Marine protected areas (number),
31,AZE,Azerbaijan,ER.MRN.PTMR.NO,Marine protected areas (number),
32,BHS,Bahamas The,ER.MRN.PTMR.NO,Marine protected areas (number),32
33,BHR,Bahrain,ER.MRN.PTMR.NO,Marine protected areas (number),2
34,BGD,Bangladesh,ER.MRN.PTMR.NO,Marine protected areas (number),7
35,BRB,Barbados,ER.MRN.PTMR.NO,Marine protected areas (number),3
36,BLR,Belarus,ER.MRN.PTMR.NO,Marine protected areas (number),
37,BEL,Belgium,ER.MRN.PTMR.NO,Marine protected areas (number),2
38,BLZ,Belize,ER.MRN.PTMR.NO,Marine protected areas (number),19
39,BEN,Benin,ER.MRN.PTMR.NO,Marine protected areas (number),
40,BMU,Bermuda,ER.MRN.PTMR.NO,Marine protected areas (number),101
41,BTN,Bhutan,ER.MRN.PTMR.NO,Marine protected areas (number),
42,BOL,Bolivia,ER.MRN.PTMR.NO,Marine protected areas (number),
43,BIH,Bosnia and Herzegovina,ER.MRN.PTMR.NO,Marine protected areas (number),
44,BWA,Botswana,ER.MRN.PTMR.NO,Marine protected areas (number),
45,BRA,Brazil,ER.MRN.PTMR.NO,Marine protected areas (number),58
46,BRN,Brunei Darussalam,ER.MRN.PTMR.NO,Marine protected areas (number),7
47,BGR,Bulgaria,ER.MRN.PTMR.NO,Marine protected areas (number),1
48,BFA,Burkina Faso,ER.MRN.PTMR.NO,Marine protected areas (number),
49,BDI,Burundi,ER.MRN.PTMR.NO,Marine protected areas (number),
50,KHM,Cambodia,ER.MRN.PTMR.NO,Marine protected areas (number),2
51,CMR,Cameroon,ER.MRN.PTMR.NO,Marine protected areas (number),2
52,CAN,Canada,ER.MRN.PTMR.NO,Marine protected areas (number),563
53,CPV,Cape Verde,ER.MRN.PTMR.NO,Marine protected areas (number),1
54,CYM,Cayman Islands,ER.MRN.PTMR.NO,Marine protected areas (number),41
55,CAF,Central African Republic,ER.MRN.PTMR.NO,Marine protected areas (number),
56,TCD,Chad,ER.MRN.PTMR.NO,Marine protected areas (number),
57,CHI,Channel Islands,ER.MRN.PTMR.NO,Marine protected areas (number),
58,CHL,Chile,ER.MRN.PTMR.NO,Marine protected areas (number),9
59,CHN,China,ER.MRN.PTMR.NO,Marine protected areas (number),36
60,COL,Colombia,ER.MRN.PTMR.NO,Marine protected areas (number),15
61,COM,Comoros,ER.MRN.PTMR.NO,Marine protected areas (number),1
62,ZAR,Congo Dem. Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),1
63,COG,Congo Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),
64,CRI,Costa Rica,ER.MRN.PTMR.NO,Marine protected areas (number),35
65,CIV,Cote d'Ivoire,ER.MRN.PTMR.NO,Marine protected areas (number),3
66,HRV,Croatia,ER.MRN.PTMR.NO,Marine protected areas (number),19
67,CUB,Cuba,ER.MRN.PTMR.NO,Marine protected areas (number),42
68,CYP,Cyprus,ER.MRN.PTMR.NO,Marine protected areas (number),5
69,CZE,Czech Republic,ER.MRN.PTMR.NO,Marine protected areas (number),
70,DNK,Denmark,ER.MRN.PTMR.NO,Marine protected areas (number),52
71,DJI,Djibouti,ER.MRN.PTMR.NO,Marine protected areas (number),1
72,DMA,Dominica,ER.MRN.PTMR.NO,Marine protected areas (number),2
73,DOM,Dominican Republic,ER.MRN.PTMR.NO,Marine protected areas (number),15
74,ECU,Ecuador,ER.MRN.PTMR.NO,Marine protected areas (number),3
75,EGY,Egypt Arab Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),8
76,SLV,El Salvador,ER.MRN.PTMR.NO,Marine protected areas (number),1
77,GNQ,Equatorial Guinea,ER.MRN.PTMR.NO,Marine protected areas (number),4
78,ERI,Eritrea,ER.MRN.PTMR.NO,Marine protected areas (number),
79,EST,Estonia,ER.MRN.PTMR.NO,Marine protected areas (number),3
80,ETH,Ethiopia,ER.MRN.PTMR.NO,Marine protected areas (number),
81,FRO,Faeroe Islands,ER.MRN.PTMR.NO,Marine protected areas (number),
82,FJI,Fiji,ER.MRN.PTMR.NO,Marine protected areas (number),19
83,FIN,Finland,ER.MRN.PTMR.NO,Marine protected areas (number),15
84,FRA,France,ER.MRN.PTMR.NO,Marine protected areas (number),64
85,PYF,French Polynesia,ER.MRN.PTMR.NO,Marine protected areas (number),8
86,GAB,Gabon,ER.MRN.PTMR.NO,Marine protected areas (number),5
87,GMB,Gambia The,ER.MRN.PTMR.NO,Marine protected areas (number),6
88,GEO,Georgia,ER.MRN.PTMR.NO,Marine protected areas (number),2
89,DEU,Germany,ER.MRN.PTMR.NO,Marine protected areas (number),21
90,GHA,Ghana,ER.MRN.PTMR.NO,Marine protected areas (number),
91,GRC,Greece,ER.MRN.PTMR.NO,Marine protected areas (number),12
92,GRL,Greenland,ER.MRN.PTMR.NO,Marine protected areas (number),2
93,GRD,Grenada,ER.MRN.PTMR.NO,Marine protected areas (number),1
94,GUM,Guam,ER.MRN.PTMR.NO,Marine protected areas (number),12
95,GTM,Guatemala,ER.MRN.PTMR.NO,Marine protected areas (number),7
96,GIN,Guinea,ER.MRN.PTMR.NO,Marine protected areas (number),
97,GNB,Guinea-Bissau,ER.MRN.PTMR.NO,Marine protected areas (number),4
98,GUY,Guyana,ER.MRN.PTMR.NO,Marine protected areas (number),
99,HTI,Haiti,ER.MRN.PTMR.NO,Marine protected areas (number),
100,HND,Honduras,ER.MRN.PTMR.NO,Marine protected areas (number),22
101,HKG,Hong Kong SAR China,ER.MRN.PTMR.NO,Marine protected areas (number),22
102,HUN,Hungary,ER.MRN.PTMR.NO,Marine protected areas (number),
103,ISL,Iceland,ER.MRN.PTMR.NO,Marine protected areas (number),9
104,IND,India,ER.MRN.PTMR.NO,Marine protected areas (number),117
105,IDN,Indonesia,ER.MRN.PTMR.NO,Marine protected areas (number),139
106,IRN,Iran Islamic Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),12
107,IRQ,Iraq,ER.MRN.PTMR.NO,Marine protected areas (number),
108,IRL,Ireland,ER.MRN.PTMR.NO,Marine protected areas (number),12
109,IMY,Isle of Man,ER.MRN.PTMR.NO,Marine protected areas (number),
110,ISR,Israel,ER.MRN.PTMR.NO,Marine protected areas (number),13
111,ITA,Italy,ER.MRN.PTMR.NO,Marine protected areas (number),58
112,JAM,Jamaica,ER.MRN.PTMR.NO,Marine protected areas (number),12
113,JPN,Japan,ER.MRN.PTMR.NO,Marine protected areas (number),135
114,JOR,Jordan,ER.MRN.PTMR.NO,Marine protected areas (number),1
115,KAZ,Kazakhstan,ER.MRN.PTMR.NO,Marine protected areas (number),
116,KEN,Kenya,ER.MRN.PTMR.NO,Marine protected areas (number),11
117,KIR,Kiribati,ER.MRN.PTMR.NO,Marine protected areas (number),14
118,PRK,Korea Dem. Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),
119,KOR,Korea Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),6
120,KSV,Kosovo,ER.MRN.PTMR.NO,Marine protected areas (number),
121,KWT,Kuwait,ER.MRN.PTMR.NO,Marine protected areas (number),5
122,KGZ,Kyrgyz Republic,ER.MRN.PTMR.NO,Marine protected areas (number),
123,LAO,Lao PDR,ER.MRN.PTMR.NO,Marine protected areas (number),
124,LVA,Latvia,ER.MRN.PTMR.NO,Marine protected areas (number),1
125,LBN,Lebanon,ER.MRN.PTMR.NO,Marine protected areas (number),1
126,LSO,Lesotho,ER.MRN.PTMR.NO,Marine protected areas (number),
127,LBR,Liberia,ER.MRN.PTMR.NO,Marine protected areas (number),1
128,LBY,Libya,ER.MRN.PTMR.NO,Marine protected areas (number),4
129,LIE,Liechtenstein,ER.MRN.PTMR.NO,Marine protected areas (number),
130,LTU,Lithuania,ER.MRN.PTMR.NO,Marine protected areas (number),3
131,LUX,Luxembourg,ER.MRN.PTMR.NO,Marine protected areas (number),
132,MAC,Macao SAR China,ER.MRN.PTMR.NO,Marine protected areas (number),
133,MKD,Macedonia FYR,ER.MRN.PTMR.NO,Marine protected areas (number),
134,MDG,Madagascar,ER.MRN.PTMR.NO,Marine protected areas (number),8
135,MWI,Malawi,ER.MRN.PTMR.NO,Marine protected areas (number),
136,MYS,Malaysia,ER.MRN.PTMR.NO,Marine protected areas (number),147
137,MDV,Maldives,ER.MRN.PTMR.NO,Marine protected areas (number),
138,MLI,Mali,ER.MRN.PTMR.NO,Marine protected areas (number),
139,MLT,Malta,ER.MRN.PTMR.NO,Marine protected areas (number),5
140,MHL,Marshall Islands,ER.MRN.PTMR.NO,Marine protected areas (number),2
141,MRT,Mauritania,ER.MRN.PTMR.NO,Marine protected areas (number),3
142,MUS,Mauritius,ER.MRN.PTMR.NO,Marine protected areas (number),18
143,MYT,Mayotte,ER.MRN.PTMR.NO,Marine protected areas (number),2
144,MEX,Mexico,ER.MRN.PTMR.NO,Marine protected areas (number),38
145,FSM,Micronesia Fed. Sts.,ER.MRN.PTMR.NO,Marine protected areas (number),15
146,MDA,Moldova,ER.MRN.PTMR.NO,Marine protected areas (number),
147,MCO,Monaco,ER.MRN.PTMR.NO,Marine protected areas (number),3
148,MNG,Mongolia,ER.MRN.PTMR.NO,Marine protected areas (number),
149,MNE,Montenegro,ER.MRN.PTMR.NO,Marine protected areas (number),2
150,MAR,Morocco,ER.MRN.PTMR.NO,Marine protected areas (number),11
151,MOZ,Mozambique,ER.MRN.PTMR.NO,Marine protected areas (number),3
152,MMR,Myanmar,ER.MRN.PTMR.NO,Marine protected areas (number),6
153,NAM,Namibia,ER.MRN.PTMR.NO,Marine protected areas (number),4
154,NPL,Nepal,ER.MRN.PTMR.NO,Marine protected areas (number),
155,NLD,Netherlands,ER.MRN.PTMR.NO,Marine protected areas (number),6
156,ANT,Netherlands Antilles,ER.MRN.PTMR.NO,Marine protected areas (number),7
157,NCL,New Caledonia,ER.MRN.PTMR.NO,Marine protected areas (number),21
158,NZL,New Zealand,ER.MRN.PTMR.NO,Marine protected areas (number),87
159,NIC,Nicaragua,ER.MRN.PTMR.NO,Marine protected areas (number),5
160,NER,Niger,ER.MRN.PTMR.NO,Marine protected areas (number),
161,NGA,Nigeria,ER.MRN.PTMR.NO,Marine protected areas (number),
162,MNP,Northern Mariana Islands,ER.MRN.PTMR.NO,Marine protected areas (number),2
163,NOR,Norway,ER.MRN.PTMR.NO,Marine protected areas (number),17
164,OMN,Oman,ER.MRN.PTMR.NO,Marine protected areas (number),3
165,PAK,Pakistan,ER.MRN.PTMR.NO,Marine protected areas (number),5
166,PLW,Palau,ER.MRN.PTMR.NO,Marine protected areas (number),15
167,PAN,Panama,ER.MRN.PTMR.NO,Marine protected areas (number),21
168,PNG,Papua New Guinea,ER.MRN.PTMR.NO,Marine protected areas (number),24
169,PRY,Paraguay,ER.MRN.PTMR.NO,Marine protected areas (number),
170,PER,Peru,ER.MRN.PTMR.NO,Marine protected areas (number),2
171,PHL,Philippines,ER.MRN.PTMR.NO,Marine protected areas (number),212
172,POL,Poland,ER.MRN.PTMR.NO,Marine protected areas (number),3
173,PRT,Portugal,ER.MRN.PTMR.NO,Marine protected areas (number),27
174,PRI,Puerto Rico,ER.MRN.PTMR.NO,Marine protected areas (number),19
175,QAT,Qatar,ER.MRN.PTMR.NO,Marine protected areas (number),2
176,ROM,Romania,ER.MRN.PTMR.NO,Marine protected areas (number),10
177,RUS,Russian Federation,ER.MRN.PTMR.NO,Marine protected areas (number),27
178,RWA,Rwanda,ER.MRN.PTMR.NO,Marine protected areas (number),
179,WSM,Samoa,ER.MRN.PTMR.NO,Marine protected areas (number),8
180,SMR,San Marino,ER.MRN.PTMR.NO,Marine protected areas (number),
181,STP,Sao Tome and Principe,ER.MRN.PTMR.NO,Marine protected areas (number),
182,SAU,Saudi Arabia,ER.MRN.PTMR.NO,Marine protected areas (number),3
183,SEN,Senegal,ER.MRN.PTMR.NO,Marine protected areas (number),11
184,SRB,Serbia,ER.MRN.PTMR.NO,Marine protected areas (number),
185,SYC,Seychelles,ER.MRN.PTMR.NO,Marine protected areas (number),10
186,SLE,Sierra Leone,ER.MRN.PTMR.NO,Marine protected areas (number),
187,SGP,Singapore,ER.MRN.PTMR.NO,Marine protected areas (number),3
188,SVK,Slovak Republic,ER.MRN.PTMR.NO,Marine protected areas (number),
189,SVN,Slovenia,ER.MRN.PTMR.NO,Marine protected areas (number),3
190,SLB,Solomon Islands,ER.MRN.PTMR.NO,Marine protected areas (number),21
191,SOM,Somalia,ER.MRN.PTMR.NO,Marine protected areas (number),2
192,ZAF,South Africa,ER.MRN.PTMR.NO,Marine protected areas (number),30
193,ESP,Spain,ER.MRN.PTMR.NO,Marine protected areas (number),47
194,LKA,Sri Lanka,ER.MRN.PTMR.NO,Marine protected areas (number),14
195,KNA,St. Kitts and Nevis,ER.MRN.PTMR.NO,Marine protected areas (number),1
196,LCA,St. Lucia,ER.MRN.PTMR.NO,Marine protected areas (number),29
197,VCT,St. Vincent and the Grenadines,ER.MRN.PTMR.NO,Marine protected areas (number),19
198,SDN,Sudan,ER.MRN.PTMR.NO,Marine protected areas (number),1
199,SUR,Suriname,ER.MRN.PTMR.NO,Marine protected areas (number),7
200,SWZ,Swaziland,ER.MRN.PTMR.NO,Marine protected areas (number),
201,SWE,Sweden,ER.MRN.PTMR.NO,Marine protected areas (number),477
202,CHE,Switzerland,ER.MRN.PTMR.NO,Marine protected areas (number),
203,SYR,Syrian Arab Republic,ER.MRN.PTMR.NO,Marine protected areas (number),4
204,TJK,Tajikistan,ER.MRN.PTMR.NO,Marine protected areas (number),
205,TZA,Tanzania,ER.MRN.PTMR.NO,Marine protected areas (number),17
206,THA,Thailand,ER.MRN.PTMR.NO,Marine protected areas (number),19
207,TMP,Timor-Leste,ER.MRN.PTMR.NO,Marine protected areas (number),
208,TGO,Togo,ER.MRN.PTMR.NO,Marine protected areas (number),1
209,TON,Tonga,ER.MRN.PTMR.NO,Marine protected areas (number),11
210,TTO,Trinidad and Tobago,ER.MRN.PTMR.NO,Marine protected areas (number),13
211,TUN,Tunisia,ER.MRN.PTMR.NO,Marine protected areas (number),4
212,TUR,Turkey,ER.MRN.PTMR.NO,Marine protected areas (number),13
213,TKM,Turkmenistan,ER.MRN.PTMR.NO,Marine protected areas (number),
214,UGA,Uganda,ER.MRN.PTMR.NO,Marine protected areas (number),
215,UKR,Ukraine,ER.MRN.PTMR.NO,Marine protected areas (number),15
216,ARE,United Arab Emirates,ER.MRN.PTMR.NO,Marine protected areas (number),3
217,GBR,United Kingdom,ER.MRN.PTMR.NO,Marine protected areas (number),149
218,USA,United States,ER.MRN.PTMR.NO,Marine protected areas (number),787
219,URY,Uruguay,ER.MRN.PTMR.NO,Marine protected areas (number),4
220,UZB,Uzbekistan,ER.MRN.PTMR.NO,Marine protected areas (number),
221,VUT,Vanuatu,ER.MRN.PTMR.NO,Marine protected areas (number),21
222,VEN,Venezuela RB,ER.MRN.PTMR.NO,Marine protected areas (number),19
223,VNM,Vietnam,ER.MRN.PTMR.NO,Marine protected areas (number),36
224,VIR,Virgin Islands (U.S.),ER.MRN.PTMR.NO,Marine protected areas (number),15
225,WBG,West Bank and Gaza,ER.MRN.PTMR.NO,Marine protected areas (number),
226,YEM,Yemen Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),1
227,ZMB,Zambia,ER.MRN.PTMR.NO,Marine protected areas (number),
228,ZWE,Zimbabwe,ER.MRN.PTMR.NO,Marine protected areas (number),
