,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
68,CYP,Cyprus,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"5,359,374","20,827,130","25,701,950","23,981,230","34,272,600","27,762,570","25,873,720","-379,766","4,418,869","8,325,820","-59,829,030","-63,188,980","-72,863,050","-53,171,600","-57,850,170","-55,552,150","-78,078,330","-66,545,350","-89,599,360","-235,400,600","-226,029,300","-286,824,000","574,814,000","-351,465,700","-542,360,900","-524,375,200","-401,025,700","-389,039,000","-537,193,900","-611,811,200","-764,502,400","-382,708,600","-2,359,327,000"
69,CZE,Czech Republic,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-116,904,000","-21,029,740","-103,731,200","-722,312,900","-791,463,700","-1,093,801,000","-1,349,805,000","-1,370,709,000","-2,188,864,000","-3,580,205,000","-4,284,590,000","-6,092,080,000","-5,973,448,000","-7,486,191,000","-12,746,570,000","-17,275,630,000"
70,DNK,Denmark,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-325,562,700","-360,518,000","-548,105,900","-886,553,400","-1,295,000,000","-1,704,492,000","-1,976,601,000","-2,151,853,000","-2,075,351,000","-2,339,859,000","-2,560,898,000","-3,468,739,000","-4,122,987,000","-4,198,887,000","-4,331,370,000","-5,707,555,000","-5,743,689,000","-5,325,920,000","-4,389,101,000","-4,641,659,000","-4,548,878,000","-4,608,738,000","-3,429,047,000","-3,846,188,000","-2,455,839,000","-4,023,471,000","-3,011,240,000","-3,540,192,000","-2,616,311,000","-2,329,630,000","1,597,816,000","2,853,615,000","1,738,371,000","3,892,455,000"
71,DJI,Djibouti,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,492,790","19,986,380","23,019,230","16,638,440","17,308,030","15,738,150","12,187,640","10,589,630","12,384,580","15,788,790","12,418,340","15,293,630","20,914,800","22,529,700","20,791,020","23,041,730","23,885,750","32,709,530"
72,DMA,Dominica,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"202,702",,"-200,000","-100,000","300,000","500,000","200,000","-444,444","-1,900,000","-1,900,000","-2,411,111","-2,344,445","-1,562,963","-3,988,889","-4,892,593","-7,662,963","-7,277,778","-6,374,074","-11,018,520","-13,300,000","-18,807,410","-16,911,110","-15,225,930","-25,544,440","-39,318,520","-25,107,040","-27,930,390","-27,016,180","-33,334,480","-28,979,510","-15,004,320","-16,061,100","-17,693,140"
73,DOM,Dominican Republic,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,"-19,000,000","-23,400,000","-25,900,000","-28,800,000","-46,900,000","-76,900,000","-89,800,000","-112,800,000","-109,200,000","-98,400,000","-135,700,000","-187,700,000","-277,000,000","-276,600,000","-254,800,000","-297,100,000","-241,400,000","-226,300,000","-249,700,000","-306,100,000","-270,600,000","-248,700,000","-248,700,000","-192,700,000","-321,400,000","-697,000,000","-681,900,000","-769,000,000","-724,800,000","-795,400,000","-890,100,000","-974,900,000","-1,041,300,000","-1,091,700,000","-1,151,800,000","-1,393,130,000","-1,824,620,000","-1,902,210,000","-1,853,000,000","-2,081,000,000","-1,814,800,000"
74,ECU,Ecuador,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-139,800,000","-196,300,000","-268,800,000","-404,600,000","-613,090,000","-761,300,000","-1,000,000,000","-890,000,000","-1,103,000,000","-1,059,000,000","-1,042,000,000","-1,059,000,000","-1,233,000,000","-1,364,000,000","-1,210,000,000","-1,117,000,000","-944,000,000","-864,190,000","-937,970,000","-930,190,000","-1,040,480,000","-1,025,640,000","-1,170,550,000","-1,307,810,000","-1,405,458,000","-1,364,366,000","-1,305,537,000","-1,527,876,000","-1,902,849,000","-1,942,270,000","-1,949,166,000","-2,046,963,000","-1,598,303,000"
75,EGY,Egypt Arab Rep.,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-276,510,700","-325,577,200","-247,857,100","-318,857,200","-496,714,300","-690,000,000","-643,000,000","-569,142,800","-792,285,700","-720,142,800","-480,142,800","-201,142,900","-679,818,200","-1,022,000,000","-1,283,000,000","-1,882,000,000","-857,000,000","-784,000,000","-405,000,000","345,000,000","936,300,000","955,000,000","742,900,000","888,000,000","583,300,000","-267,000,000","-253,300,000","-245,900,000","-34,800,000","738,300,000","1,388,200,000","1,289,100,000"
76,SLV,El Salvador,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-13,960,000","-25,560,000","-51,840,000","-39,960,000","-62,040,000","-71,840,000","-91,520,000","-114,560,000","-96,160,000","-89,440,000","-102,078,500","-91,980,000","-105,460,000","-101,300,000","-131,681,700","-120,810,800","-97,239,110","-111,577,000","-94,629,820","-66,707,920","-90,348,380","-163,197,700","-162,992,600","-282,200,000","-253,100,000","-265,700,000","-323,400,000","-423,040,000","-457,930,000","-578,800,000","-530,940,000","-576,000,000","-535,970,000"
77,GNQ,Equatorial Guinea,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,505,032","-7,930,214","-8,551,502","-10,247,380","-9,202,185","-3,604,192","-9,295,014","-8,751,727","-24,932,460","-45,019,820",,,,,,,,,,,,
78,ERI,Eritrea,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,600,000","7,799,582","-7,300,368","-3,599,818","4,306,331","6,329,058","-1,403,232",,,,,,,,
79,EST,Estonia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,164,430","-13,940,430","-29,607,160","2,794,715","1,868,916","-145,698,600","-80,985,560","-101,695,100","-202,733,500","-280,675,900","-325,168,600","-536,010,600","-638,075,200","-569,558,900","-865,198,500","-1,450,746,000","-1,511,619,000"
80,ETH,Ethiopia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"144,928","5,507,247","7,971,015","14,589,370","11,449,280","13,961,350","2,656,616","-13,719,810","-15,120,770","-27,101,450","-36,811,600","-55,603,860","-72,367,150","-68,550,730","-82,270,530","-81,828,600","-52,460,000","-31,645,860","-18,786,580","-33,938,380","-41,297,250","-43,239,920","-33,787,190","-35,835,630","-32,014,300","-22,556,860","-24,185,160","-28,615,610","-4,632,389","17,942,750","39,539,140","1,634,244"
81,FRO,Faeroe Islands,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,450,000","34,870,000","34,270,000","14,640,000","18,660,000","30,020,000",,,,,
82,FJI,Fiji,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,"-13,425,180","-17,164,560","-10,788,340","-36,237,920","-28,003,370","-28,099,110","-10,749,390","-8,209,269","-9,727,796","-15,381,840","-24,471,910","-26,132,610","-20,534,610","-27,478,540","-28,279,090","-56,552,550","-39,251,010","-27,934,160","-37,473,810","-56,069,590","-35,539,760","19,781,180","-16,715,350","4,599,926","-11,384,600","-10,550,600","-45,744,120","-120,643,300","-84,904,620","-26,601,630"
83,FIN,Finland,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-370,431,100","-433,631,500","-561,774,800","-598,542,600","-643,327,600","-783,343,400","-1,032,954,000","-1,194,566,000","-1,150,015,000","-1,095,045,000","-1,014,334,000","-1,286,506,000","-1,577,732,000","-1,722,045,000","-2,679,291,000","-3,734,559,000","-4,681,516,000","-5,410,887,000","-4,931,505,000","-4,314,172,000","-4,439,527,000","-3,635,264,000","-2,463,688,000","-3,083,479,000","-2,048,266,000","-1,723,606,000","-1,005,469,000","-602,996,500","-2,631,564,000","244,649,000","-347,630,700","808,449,400","-644,867,600","-1,092,599,000"
84,FRA,France,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"143,859,000","235,409,400","635,869,200","1,260,307,000","2,224,276,000","2,679,540,000","1,605,936,000","184,030,800","-1,521,598,000","-2,386,921,000","-2,260,150,000","-1,684,082,000","-1,641,856,000","-953,295,700","-279,391,700","-3,896,454,000","-5,732,180,000","-8,614,630,000","-9,166,420,000","-6,754,740,000","-8,963,955,000","-2,705,129,000","7,092,852,000","8,660,167,000","22,795,090,000","19,452,970,000","19,569,780,000","9,367,865,000","14,867,960,000","22,641,710,000","29,388,210,000","37,356,380,000","40,300,550,000","36,057,240,000"
85,PYF,French Polynesia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404,058,200","464,835,800","559,894,700","521,416,300","593,015,900","622,677,600","692,215,400"
86,GAB,Gabon,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,"-226,761,200","-361,505,300","-425,644,600","-329,958,100","-313,353,800","-256,569,700","-224,095,500","-243,599,000","-246,573,900","-242,732,500","-277,557,500","-328,768,900","-616,642,400","-614,660,600","-821,710,400","-626,142,100","-498,014,500","-665,415,300","-763,044,000","-716,491,300","-515,106,500","-568,914,200","-778,739,500","-629,163,400","-478,755,600","-521,591,300","-964,794,000","-957,591,500",,,
87,GMB,Gambia The,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,"-2,746,796","-2,496,589","-2,202,761","-2,719,851","-10,450,410","-17,442,230","-5,177.60","-47,511","-862,624","-16,786,630","-11,796,720","-13,803,300","-11,442,170","-7,518,198","-2,462,794","712,070","-273,869","-5,210,484","-3,273,052","-7,576,019",,,,,,"-27,230,510","-27,785,200","-31,289,290","-37,796,540","-34,612,660","-27,103,750"
88,GEO,Georgia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,400,000","190,700,000","146,900,000","117,500,000","32,300,000","11,596,470","13,472,140","78,480,340","62,098,940","162,833,200","36,966,060","-165,749,900"
89,DEU,Germany,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,"-359,880,700","-374,480,500","-345,133,200","-671,798,500","32,164,820","349,074,900","-1,144,263,000","1,409,954,000","450,379,700","1,730,899,000","782,012,600","1,013,449,000","3,026,165,000","4,953,881,000","5,236,627,000","5,262,761,000","5,536,410,000","12,592,210,000","16,038,910,000","22,574,180,000","17,909,510,000","18,255,930,000","11,567,090,000","1,409,989,000","-2,813,659,000","738,569,700","-2,714,101,000","-10,630,560,000","-12,152,790,000","-7,662,439,000","-9,747,783,000","-17,021,120,000","-16,986,160,000","25,600,480,000","30,841,890,000","58,022,870,000","69,899,430,000","64,512,850,000"
90,GHA,Ghana,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-36,339,230","-41,782,720","-34,878,310","-27,398,420","-55,481,920","-82,500,000","-83,981,810","-85,270,910","-89,364,700","-114,800,000","-110,300,000","-104,700,000","-126,400,000","-130,900,000","-117,800,000","-111,400,000","-119,400,000","-106,200,000","-111,300,000","-110,900,000","-129,200,000","-139,900,000","-5,900,000","-136,300,000","-131,800,000","-107,600,000","-107,800,000","-174,300,000","-180,960,000","-197,850,000","-187,100,000","-127,360,000","-138,610,000","-258,580,000"
91,GRC,Greece,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-131,000,000","-157,000,000","-163,000,000","-173,000,000","-273,000,000","-541,000,000","-590,000,000","-821,000,000","-957,000,000","-1,128,000,000","-1,307,000,000","-1,429,000,000","-1,510,000,000","-1,630,000,000","-1,709,000,000","-1,764,000,000","-2,050,000,000","-1,440,000,000","-1,248,000,000","-1,684,000,000","-2,181,000,000","-1,632,000,000",,"-671,600,000","-884,900,000","-1,767,000,000","-1,956,320,000","-4,502,521,000","-5,424,585,000","-7,029,962,000","-8,957,894,000","-12,469,080,000","-16,015,310,000"
92,GRL,Greenland,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,GRD,Grenada,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"100,000","-100,000","200,000","-2,100,000","-5,000,000","-5,000,000","-4,400,000","-1,500,000","-1,707,407","-5,551,852","-6,640,741","-6,274,074","-9,533,333","-11,874,070","-6,885,185","-5,337,037","-8,474,074","-8,814,815","-13,444,440","-15,400,000","-16,944,440","-23,244,440","-26,300,000","-33,748,150","-41,444,440","-47,596,630","-50,492,590","-65,193,380","-28,282,140","-28,884,840","-34,454,160","-36,283,120"
94,GUM,Guam,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,GTM,Guatemala,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-26,300,000","-17,500,000","2,700,000","-44,100,000","-85,700,000","-113,600,000","-112,700,000","-206,600,000","-170,100,000","-214,400,000","-179,300,000","-176,300,000","-179,400,000","-195,700,000","-102,800,000","-141,000,000","-118,400,000","-130,000,000","-159,100,000","-229,900,000","-238,700,000","-183,700,000","-204,500,000","-209,600,000","-84,430,690","-318,376,100","-317,865,200","-410,000,000","-484,700,000","-680,000,000","-842,800,000","-929,500,000"
96,GIN,Guinea,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,"-151,700,000","-124,150,000","-131,170,000","-169,850,000","-148,890,000","-165,870,000","-140,950,000","-83,310,000","-73,230,000","-84,630,000","-92,912,000","-113,570,000","-124,590,000","-82,178,800","-77,655,020","-102,334,900","-45,482,140","-111,737,600","-27,310,000",,,"-35,430,000","-91,200,000"
97,GNB,Guinea-Bissau,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,"-7,800,000","-4,800,000","-4,700,000","-5,900,000","-16,500,000","-17,900,000","-19,900,000","-28,050,000","-22,280,000","-32,910,000","-27,780,000","-28,980,000","-26,270,000","-21,090,000","-18,650,000","-14,300,000",,,,"-12,010,280","-8,757,681","-8,831,723","-9,634,954",,,,
98,GUY,Guyana,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-21,647,060","-23,294,120","-34,392,160","-42,588,240","-54,542,220","-48,944,020","-57,487,660","-44,687,060","-40,318,460",,,,,,,"-96,590,000","-101,780,000","-106,110,000","-117,690,000","-82,500,000","-86,100,000","-59,700,000","-61,000,000","-58,100,000","-58,900,000","-55,000,000","-55,200,000","-39,400,000","-39,040,000","-69,005,000","-11,163,000","-14,792,000"
99,HTI,Haiti,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,"-4,000,000","-5,399,980","-6,320,000","-7,819,994","-7,140,000","-7,120,000","-12,040,000","-14,680,000","-13,400,000","-14,300,000","-13,060,000","-14,020,000","-14,199,990","-18,060,000","-19,799,640","-15,336,980","-20,900,620","-27,124,940","-25,578,170","-18,200,000","-18,000,000","-11,900,000","-10,600,000","-11,200,000","-30,640,000","-9,930,000","-13,600,000","-11,050,000","-12,610,000","-9,190,000","-9,470,000","-13,670,000","-14,280,000","-12,340,000","-35,040,000","6,630,000","9,290,000","5,680,000"
100,HND,Honduras,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-12,550,000","-28,050,000","-57,100,000","-67,950,000","-84,300,000","-118,900,000","-151,900,000","-151,500,000","-200,250,400","-150,100,000","-175,850,000","-188,149,200","-209,099,300","-232,740,700","-231,321,900","-237,566,500","-236,800,000","-246,100,000","-282,000,000","-198,700,000","-214,100,000","-225,900,000","-230,800,000","-211,800,000","-204,100,000","-155,200,000","-214,936,100","-257,772,200","-301,166,400","-361,849,900","-451,202,500","-473,624,000","-536,759,600","-399,860,100","-350,395,100"
101,HKG,Hong Kong SAR China,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,175,719,000","3,191,872,000","1,124,606,000","3,660,163,000","724,339,600","3,655,799,000","3,005,580,000","201,331,600","3,519,789,000","5,692,639,000","10,456,660,000"
102,HUN,Hungary,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,"-1,113,005,000","-774,996,700","-850,002,600","-866,989,600","-991,007,400","-1,027,005,000","-1,091,996,000","-1,393,992,000","-1,427,155,000","-1,356,283,000","-1,259,666,000","-1,190,261,000","-1,406,118,000","-1,700,793,000","-1,976,860,000","-2,699,435,000","-2,952,578,000","-2,891,284,000","-2,574,761,000","-2,849,881,000","-3,633,806,000","-4,170,324,000","-5,365,692,000","-6,245,895,000","-7,086,237,000","-10,412,870,000","-11,189,730,000"
103,ISL,Iceland,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-52,500,000","-58,500,000","-71,800,000","-83,100,000","-111,800,000","-136,300,000","-138,100,000","-137,100,000","-154,900,000","-146,400,000","-163,200,000","-170,100,000","-202,300,000","-237,200,000","-213,211,300","-181,116,000","-157,924,000","-150,648,900","-189,442,100","-198,438,500","-170,358,800","-171,650,500","-177,795,000","-174,646,500","-242,858,000","-263,640,000","-13,198,670","-183,034,700","-565,008,500","-622,050,800","-1,319,415,000","-1,959,839,000","-6,299,858,000"
104,IND,India,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-257,640,400","-159,678,800","-149,175,600","-102,199,500","263,619,200","534,720,900","458,835,300","-82,217,500","-501,869,000","-678,949,500","-818,214,300","-1,063,485,000","-1,155,748,000","-1,783,546,000","-2,051,542,000","-3,257,026,000","-4,003,232,000","-3,911,768,000","-3,745,916,000","-3,549,242,000","-3,733,620,000","-3,255,604,000","-3,518,007,000","-3,636,497,000","-3,709,783,000","-4,892,213,000","-4,141,838,000","-3,909,107,000","-4,894,897,000","-4,052,167,000","-6,649,958,000","-6,245,326,000","-6,138,095,000","-3,538,749,000"
105,IDN,Indonesia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,"-3,073,000,000","-2,993,000,000","-3,650,000,000","-4,061,000,000","-3,542,000,000","-3,216,000,000","-3,654,000,000","-4,092,000,000","-4,547,000,000","-5,190,000,000","-5,581,000,000","-5,664,000,000","-4,987,000,000","-4,693,000,000","-5,874,000,000","-6,008,000,000","-6,332,000,000","-8,189,000,000","-8,996,659,000","-8,443,384,000","-6,935,500,000","-7,047,766,000","-6,217,456,000","-10,917,220,000","-12,926,630,000","-13,789,570,000","-15,524,630,000","-15,155,390,000"
106,IRN,Iran Islamic Rep.,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-60,000,000","85,000,000","320,000,000","443,000,000","606,000,000","620,000,000","385,000,000","611,000,000","451,000,000","293,000,000","299,000,000","140,000,000","141,000,000","248,000,000","378,000,000","128,000,000","130,000,000","8,000,000","-271,000,000","-478,000,000","-410,000,000","-259,000,000","-501,000,000","-292,000,000","-200,000,000",,,,,,,,
107,IRQ,Iraq,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,527,200,000","-3,545,500,000","-3,066,970,000",
108,IRL,Ireland,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-10,520,010","-47,783,260","-124,885,500","-265,144,600","-542,085,400","-723,094,000","-901,889,000","-958,245,800","-1,449,939,000","-1,595,034,000","-1,805,130,000","-2,121,893,000","-2,660,367,000","-3,066,815,000","-3,871,389,000","-4,279,755,000","-4,955,279,000","-4,599,645,000","-5,544,652,000","-5,336,269,000","-5,406,191,000","-7,324,841,000","-8,195,666,000","-9,706,229,000","-13,369,260,000","-13,748,880,000","-13,546,630,000","-16,351,290,000","-22,315,180,000","-24,784,280,000","-27,931,310,000","-31,013,600,000","-31,684,890,000","-38,093,510,000","-39,429,800,000"
109,IMY,Isle of Man,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ISR,Israel,BN.GSR.FCTY.CD,Net income (BoP current US$),"-41,000,000","-47,000,000",,,,"-55,000,000","-63,000,000","-71,000,000","-67,000,000","-78,000,000","-125,000,000","-80,000,000","-112,000,000","-118,000,000","-210,000,000","-369,000,000","-385,000,000","-365,000,000","-486,000,000","-453,000,000","-757,000,000","-517,900,000","-1,269,200,000","-1,513,900,000","-2,020,600,000","-2,119,200,000","-2,164,000,000","-2,254,500,000","-2,293,600,000","-2,033,200,000","-1,981,100,000","-1,643,600,000","-2,051,300,000","-2,049,300,000","-2,550,700,000","-2,654,000,000","-3,392,300,000","-3,967,300,000","-4,064,800,000","-5,177,200,000","-8,323,200,000","-5,542,100,000","-4,584,400,000","-4,867,300,000","-4,184,300,000","-1,411,100,000","-785,300,000","-496,500,000","-3,298,300,000"
111,ITA,Italy,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,"548,800,000","609,456,300","645,026,200","401,220,500","-303,403,900","-495,125,300","-513,176,200","-85,957,640","357,771,300","1,302,816,000","1,278,371,000","-1,628,234,000","-2,453,711,000","-2,509,927,000","-2,547,263,000","-2,732,227,000","-4,239,485,000","-4,915,738,000","-5,510,785,000","-7,320,908,000","-14,711,940,000","-17,546,560,000","-21,886,910,000","-17,217,950,000","-16,689,360,000","-15,643,890,000","-14,959,410,000","-11,202,110,000","-12,317,660,000","-11,050,350,000","-12,009,580,000","-10,336,510,000","-14,550,160,000","-20,223,160,000","-18,338,480,000","-17,108,140,000","-17,076,500,000","-26,798,970,000","-43,547,580,000"
112,JAM,Jamaica,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-73,200,000","-93,500,000","-142,500,000","-167,000,000","-212,000,000","-162,200,000","-175,200,000","-154,885,900","-266,337,200","-281,770,600","-280,676,000","-343,259,500","-335,200,000","-350,099,900","-430,000,600","-438,800,000","-293,900,000","-195,900,000","-352,000,000","-370,700,000","-224,700,000","-291,900,000","-308,100,000","-332,500,000","-349,900,000","-437,800,000","-605,300,000","-571,400,000","-582,543,000","-676,230,000","-615,636,400","-661,594,800","-568,261,600"
113,JPN,Japan,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"60,000,000","870,000,000","1,980,000,000","770,000,000","-810,000,000","1,600,000,000","2,940,000,000","4,150,000,000","6,740,909,000","9,326,779,000","16,337,710,000","20,621,770,000","22,964,830,000","22,492,160,000","25,954,240,000","35,605,000,000","40,408,690,000","40,232,380,000","44,285,490,000","53,489,810,000","58,198,220,000","54,622,900,000","57,577,870,000","60,400,550,000","69,221,060,000","65,768,700,000","71,240,180,000","85,703,220,000","103,444,200,000","118,155,500,000","138,501,700,000","152,336,000,000"
114,JOR,Jordan,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,"9,519,989","15,217,420","20,801,530","25,641,690","25,001,260","22,191,080","26,796,900","39,122,620","47,230,000","87,343,760","92,755,420","45,074,690","-60,622,210","-88,556,100","-140,293,100","-220,239,500","-314,107,800","-196,648,600","-214,478,500","-333,397,200","-347,558,200","-310,450,600","-314,746,000","-278,789,300","-300,987,300","-208,744,700","-138,081,800","-12,129,760","132,710,900","191,537,800","119,407,700","176,163,600","323,695,400","408,462,600","580,535,900","807,066,600","951,275,600"
115,KAZ,Kazakhstan,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-145,500,000","-220,400,000","-315,000,000","-296,300,000","-499,700,000","-1,254,054,000","-1,236,961,000","-1,127,367,000","-1,746,557,000","-2,863,106,000","-5,696,920,000","-9,491,439,000","-13,085,990,000","-19,322,540,000"
116,KEN,Kenya,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-92,875,130","-141,983,900","-158,278,300","-187,595,800","-187,818,300","-194,334,700","-201,050,000","-179,540,500","-184,501,900","-201,819,400","-243,608,300","-240,851,900","-282,536,800","-345,352,200","-318,357,500","-418,332,900","-428,742,800","-357,887,400","-174,818,400","-170,518,800","-219,222,600","-117,799,300","-170,554,500","-135,739,100","-71,848,030","-133,109,700","-121,655,900","-143,170,900","-88,602,620","-126,518,800","-108,453,700","-70,079,630","-144,186,000","-45,202,100"
117,KIR,Kiribati,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,"6,930,155","9,247,996","8,443,894","9,510,451","7,269,271","9,430,293","9,735,351","10,696,710","13,097,090","15,013,580","15,857,230","16,775,210","19,011,400","18,070,750","14,716,160","14,833,110",,,,,,,,,,,,,,
118,PRK,Korea Dem. Rep.,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
